text,soft_skills
" Supervises financial management and administrative staff, includingassigning responsibilities, reviewing employees' work processes andproducts, counseling employees, giving performance evaluations, andrecommending disciplinary action;","['instructing', 'communication', 'mediation']"
 Serves as member of management team participating in both strategicand operational planning for the company;,"['mediation', 'organization', 'coordination']"
" Directs and oversees the company's financial management activities,including establishing and monitoring internal controls, managing cashand investments, and managing the investment portfolio in collaborationwith the Investment team leader. This includes, but is not limited to,evaluation of investment risk, concentration risk, fund deploymentlevels, adequacy of loss and liquidity reserves Assists investment teamin development of proper documentation and internal systems;","['mediation', 'coordination', 'communication']"
" Directs and oversees the annual budgeting process, includingdeveloping projections for financial planning, and preparing budgets;","['coordination', 'mediation', 'instructing']"
" Prepares external and internal financial management reports, such asaudited financial statements, tax returns, and reports for the board ofdirectors and company staff;","['mediation', 'communication', 'coordination']"
" Develops, implements, and maintains efficient and effective accountingsystems and controls to ensure compliance with national andinternational accounting standards and principles, sufficiency of fundaccounting, and comprehensiveness of data for reporting and compliancerequirements;","['communication', 'mediation', 'coordination']"
" Ensures contract compliance, including interpreting and monitoringcontracts with clients, submitting required reports, and monitoringcovenants and other contract terms;","['mediation', 'communication', 'instructing']"
" Oversees the design, implementation and maintenance of computer","['coordination', 'mediation', 'communication']"
" Manages other administrative operations, such as facilitiesmanagement, payroll administration, office operations, andadministrative support;","['mediation', 'communication', 'coordination']"
laws and articles ofincorporation regarding corporate registration and reporting offundraising operations.,"['mediation', 'communication', 'coordination']"
 Working with the Country Director to provide environmental informationto the general public via regular electronic communications and servingas the primary local contact to Armenian NGOs and businesses and theArmenian offices of international organizations and agencies;,"['mediation', 'coordination', 'communication']"
 Helping to organize and prepare CENN seminars/ workshops;,['instructing']
" Participating in defining the strategy and policy of CENN in Armenia,the Caucasus region and abroad.",['mediation']
 Identify gaps in knowledge and overseeing information collection tofill them;,"['communication', 'instructing', 'mediation']"
" Consolidate partnerships with center of excellence of technicalsupport, working with local NGOs/COs, LCEs, and LGUs;","['coordination', 'mediation']"
 Work with LEAD team to develop assessment tools for LGUs to identifybarriers and supports to quality service provision;,"['instructing', 'service orientation', 'adaptability']"
" Assist LGUs and NGOs to design and implement multifaceted (ifnecessary), systematic interventions, based on assessment results, toenhance quality service provision, especially through provider behaviorchange. For example, ensure that not only providers, but theirsupervisors are trained and that monitoring and supervisory systemspromote provider change, quality services, and sustainability of change;","['communication', 'service orientation', 'instructing']"
" Assist other LEAD specialists and units to enhance the quality ofservices, especially through BCC and provider behavior change, andassure that programs serve community needs;","['instructing', 'communication', 'service orientation']"
"facilitate behavior change trainingactivities and proposal development and coordinate these activities, asneeded, with other project components and counterpart agencies;","['communication', 'mediation', 'coordination']"
" Participate in developing programs to address common barriers (e.g.,strengthen service providers' interpersonal communication skills throughon","['communication', 'service orientation', 'mediation']"
job training and use of innovative training approaches based onTSAP,"['instructing', 'communication', 'service orientation']"
 Provide training to local groups in developing programs in communitymobilization and advocacy to participate in health planning process; ,"['mediation', 'instructing', 'organization']"
 Develop monitoring and evaluation systems for client,"['monitoring', 'communication', 'coordination']"
centered qualitycare/ provider behavior change;,"['communication', 'adaptability', 'mediation']"
 Reinforce inter,"['communication', 'mediation', 'coordination']"
organization collaboration and coordination of BCCinterventions to improve the overall quality of interventions;,"['coordination', 'mediation', 'communication']"
 Rendering technical assistance to Database Management Systems;,"['communication', 'mediation', 'service orientation']"
 Coordinating the work of subordinate employees;,"['coordination', 'mediation', 'instructing']"
 Maintaining liaison with the other subdivisions within the Company;,"['mediation', 'coordination', 'communication']"
 Operating office equipment.,"['instructing', 'service orientation']"
 Assist the Tavush Marz communities and community unions in developingand strengthening their capacities and structures of local selfgovernance;,"['mediation', 'coordination', 'organization']"
 Identify impacts and further needs for capacity building measures atlocal level including civil society actors;,"['adaptability', 'mediation', 'instructing']"
" Conduct surveys, analysis and monitoring of local conflict and makenecessary recommendations;","['mediation', 'coordination', 'communication']"
" Organize meetings, discussions and prepare reports (in the Armenian,Russian and English languages).","['mediation', 'coordination']"
 Manage and control the company's activities in Armenia;,"['mediation', 'coordination', 'organization']"
" Suggest, Modify and Secure the realization of corporate policies;","['mediation', 'coordination', 'communication']"
" Promotes efficiently the image, products and services of the company;","['mediation', 'service orientation', 'communication']"
 Develop beneficial cooperation with old and new customers;,['communication']
 Creates mutually beneficial alliances with local authorities.,"['coordination', 'mediation', 'communication']"
 Network monitoring and administration;,"['mediation', 'communication', 'coordination']"
" Database administration (MS SQL 2000).The incumbent under direct supervision of UNDPResident Representative will be responsible for the following issues:regularly track economic data, undertake periodic analyses of economicand development issues and produce relevant reports aimed at promotingequitable economic growth and human development; advocate for theMillennium Development Goals, Human Development and equitable economicgrowth by participating in relevant forums, conferences and trainings;manage the production and launch of economic reports, including Whitepapers and National Human Development Reports; provide high qualityeconomic input to all relevant UNDP programmes and projects and ensurethat UNDP programmes are in line with national ""policies and priorities;provide capacity building support in economic management to publicinstitutions; assist the efforts of the Government and UNDP to mobilizeresources by preparing documentation for donor and consultativemeetings; facilitate policy dialogue on economic issues with theGovernment, private sector, civil society and donors; contribute tosub","['mediation', 'coordination', 'communication']"
"regional, regional and inter","['coordination', 'mediation', 'communication']"
agency initiatives related todevelopment issues.,"['stress management', 'organization', 'coordination']"
" Help manage all aspects of the project implementation, includinghumanitarian assistance customs clearance, unloading, inventorying,distribution, monitoring, and providing feedback information;","['instructing', 'communication', 'coordination']"
checks of recipient organizations for two years afterassistance has been provided as assigned by CHAP/Armenia Country ProgramDirector;,['mediation']
 Help identify recipients and their needs within the project framework;,"['communication', 'coordination', 'instructing']"
 Help prepare and submit to CHAP/Armenia Country Program Directorfeedback information about use of HA;,"['communication', 'mediation', 'coordination']"
 Report to CHAP/Armenia Country Program Director.Graphic Designer will be responsible for everygraphical development of our software and websites; from general userinterface to product packaging including user guide documentation; willassist the marketing and communication team to develop the corporatematerial for the group and its subsidiaries; will also create marketingpresentations for both in,"['communication', 'mediation', 'service orientation']"
" Responsible for managing office administration, including accounts,etc.; ",['instructing']
" Manage office communications (written, electronic and telephonic);liaison work with funding agencies, CUTS offices in other countries,other organisations, individuals; dealing with enquiries, etc.;","['communication', 'mediation', 'instructing']"
" To manage general administration, including safety","['instructing', 'stress management', 'communication']"
"related issues,human resources","['complex problem solving', 'critical thinking', 'stress management']"
"related issues, etc.;In addition to responsibilities outlined above, the post willoccasionally entail duties outside the normal working hours, such asmanaging events, accompanying visitors, working to meet deadlines, etc.Flexibility and good humour are essential.","['instructing', 'active listening', 'critical thinking']"
 Negotiating and settling legal issues with external authorities;,"['mediation', 'conflict resolution', 'communication']"
" Assisting company subdivisions with legal issues, including thoseconcerning industrial property;","['mediation', 'communication', 'organization']"
" Familiarizing company officials with the normative acts, concerningtheir activity;","['mediation', 'coordination', 'communication']"
 Controlling changes and amendments to current legislation.,"['mediation', 'instructing', 'stress management']"
 Lead the effort to identify targets of opportunity; primarilymarket,"['mediation', 'instructing', 'coordination']"
based but also taking into consideration Georgia numerousmicro,"['critical thinking', 'instructing']"
" Formulate and direct the implementation of market research,investigation and analysis which provides the foundation foridentifying, assessing and developing targets of opportunity;","['mediation', 'coordination', 'communication']"
 Provide the vision for conceptualizing commercial strategies for thepotential targets of opportunity and lead in the formulation of marketchain development strategies;,"['mediation', 'coordination', 'communication']"
 Direct the preparation of pre,['mediation']
feasibility and select feasibility levelinvestigations and drive the process of packaging viable businessopportunities which when implemented will result in successfulcommercial transactions and fully functioning market chains;,"['mediation', 'communication', 'service orientation']"
" Play a key role in identifying strategic partners, both operationaland investment;","['mediation', 'coordination', 'communication']"
" Determine the market related facilitations that are needed to supportthe implementation of the packaged business opportunities and deliverthese facilitations; my relate to linking buyers and sellers, directinvolvement in trading and brokerage activities, formulating marketingstrategies, developing branding programs, preparing promotionalmaterials and programs, etc.;","['instructing', 'communication', 'mediation']"
" Establish and build the capacity of two teams within the Marketingpillar: 1) Market Identification and Development Team; and, 2)Agribusiness Planning Team;","['coordination', 'mediation', 'communication']"
" Together with the Processing Advisor, establish a central informationcenter to house production, processing and marketing related technicalinformation, as well as business and financial planning and managementresource material; identify and subscribe to appropriate electronicmarket information databases;","['mediation', 'instructing', 'communication']"
 Oversee the design and implementation of an appropriate MarketInformation Service for the Georgian agribusiness sector;,"['mediation', 'coordination', 'service orientation']"
 Select and facilitate client/ staff participation in appropriateinternational trade exhibitions;,"['coordination', 'mediation', 'communication']"
 Formulate and execute marketing,"['communication', 'instructing', 'coordination']"
related training program for Georgianagribusinesses and local marketing team;,"['organization', 'service orientation', 'coordination']"
 Build capacity to structure deals;,['adaptability']
 Formulate staff development programs for Marketing Team and takeresponsibility for supervision.,"['coordination', 'service orientation', 'organization']"
 Overall management of operation and direction of the department; ,"['mediation', 'coordination', 'communication']"
 Manage project staff and subcontractors; ,"['coordination', 'communication', 'service orientation']"
 Develop and implement work plans; ,"['communication', 'coordination', 'instructing']"
 Develop and maintain a strong professional relationship and ensureaccurate documentation of communications and instructions.,"['communication', 'mediation', 'coordination']"
" Assist the Program Director in all aspects of program management,including program design, implementation, reporting, promotion andevaluation;","['coordination', 'mediation', 'organization']"
 Establish and maintain relationships with Armenian and internationalworking partners; ,"['communication', 'coordination', 'mediation']"
 Oversee financial accounting and reporting; ,"['mediation', 'coordination', 'communication']"
 Assist Program Director with staff and financial management andprovide direct oversight of 2,"['coordination', 'mediation', 'communication']"
 Coordinate with the Public Affairs Section of the US Embassy inYerevan; ,"['mediation', 'coordination']"
 Lead reporting and promotional activities in tandem with fellow DPDs; ,"['coordination', 'mediation']"
 Communicate regularly with PH management and program advisors in theUS; ,"['mediation', 'coordination', 'communication']"
 Travel throughout the region for program implementation andcross,"['coordination', 'service orientation', 'organization']"
 Develop program and organizational promotion and publicity; ,"['communication', 'organization', 'coordination']"
 Research opportunities for new/continuing program development inArmenia.Consultant will develop a clear and thoroughunderstanding of a certain product's local consumption and in futureyears consumption in neighboring countries. To do this he/she willprepare a clear analysis of the national and regional supply and demandof this and related consumer products. The analysis should answer thefollowing questions concerning:,"['mediation', 'communication', 'instructing']"
 Market Introduction and Acceptability Procedures.,"['mediation', 'coordination', 'communication']"
 Participate in needs assessment for the selection of program villagesin targeted region;,"['mediation', 'coordination', 'organization']"
